Identifier,Age,Height,Level of studies,Voice type,accent,Hair color,glasses,Body type,Tattoos,Gender,PK,food,JobInvolvement,WorkLifeBalance,jailexp
758,38,?,8,deep,Northern Irish,black,No,------->?,Yes,M,Yes,Pizza,High,great,Missing
759,25,166.37,7,mid range,East Coast City Dialects,red,Yes,ectomorph,No,NB,Yes,Burger,7826,7826,**??
760,19,170.39,1,deep,?,white/gray,No,endomorph,Yes,NB,No,------->?,VeryHigh,5161,1153
761,19,204.54,3,mid range,**??,white/gray,No,ectomorph,No,F,No,Pizza,Low,Bad,**??
762,55,162.94,4,deep,Midwestern American,black,?,endomorph,Yes,M,Yes,Pizza,Low,Bad,**??
763,24,**??,1,high pitched,Yorkshire,white/gray,Yes,**??,No,M,No,Burger,VeryHigh,6286,435
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
766,26,168.05,5,deep,East Coast City Dialects,brown,Yes,endomorph,Yes,NB,?,------->?,Medium,Good,211
767,27,**??,7,deep,Midwestern American,blond,No,**??,No,?,------->?,Burger,VeryHigh,5143,441
768,19,187.03,2,**??,Welsh,white/gray,No,ectomorph,Yes,NB,No,Hot Dogs,High,great,1261
769,23,206.27,**??,high pitched,Northern Irish,white/gray,Yes,mesomorph,No,F,No,Pizza,VeryHigh,7037,23
770,18,177.58,1,high pitched,Northern Irish,white/gray,Yes,ectomorph,Yes,M,No,Burger,Medium,Good,**??
771,22,182.72,**??,------->?,Southern American,white/gray,No,ectomorph,Yes,NB,No,Hot Dogs,7908,7908,?
772,40,146.59,?,mid range,Northern Irish,brown,Yes,------->?,No,F,?,Pizza,Medium,Good,499
773,39,143.89,8,deep,Southern American,blond,No,mesomorph,Yes,M,Yes,Burger,9733,9733,1491
774,18,175.16,**??,high pitched,Midwestern American,black,No,mesomorph,No,NB,No,**??,VeryHigh,5101,195
775,35,169.58,5,mid range,East Coast City Dialects,brown,Yes,endomorph,No,M,Yes,Missing,High,great,------->?
776,24,**??,1,high pitched,Missing,white/gray,**??,ectomorph,Yes,NB,No,Pizza,VeryHigh,5315,**??
777,18,173.68,3,mid range,Northern Irish,white/gray,Yes,?,No,M,No,Burger,9940,9940,1459
778,Missing,188.84,Missing,high pitched,Midwestern American,white/gray,No,ectomorph,Yes,F,No,Burger,Medium,Good,509
779,55,169.42,8,deep,Scottish,brown,Yes,Missing,Yes,M,Yes,Burger,Low,Bad,Missing
780,20,172.67,4,high pitched,Midwestern American,black,No,mesomorph,No,**??,No,Burger,8627,8627,43
781,34,**??,4,deep,french,brown,Yes,ectomorph,Yes,M,Yes,Burger,VeryHigh,3616,323
782,28,149.33,8,?,Cockney,red,No,mesomorph,Yes,F,Yes,Apple Pie,VeryHigh,4178,835
------->?,33,141.57,7,high pitched,Midwestern American,blond,No,Missing,Yes,NB,------->?,Burger,VeryHigh,3808,1211
**??,42,145.44,Missing,deep,Italian,blond,Yes,mesomorph,Yes,NB,Yes,Burger,9291,9291,1027
785,54,162.78,7,deep,Southern American,brown,Yes,ectomorph,No,F,?,Burger,Low,Bad,145
786,29,160.56,7,deep,Northern Irish,blond,Yes,mesomorph,No,NB,Yes,Missing,VeryHigh,6598,73
787,30,155.75,6,deep,Northern Irish,blond,Yes,mesomorph,**??,M,Yes,Burger,VeryHigh,5052,839
Missing,55,142.88,7,deep,Scottish,black,Yes,ectomorph,Yes,NB,Yes,Burger,VeryHigh,3718,?
789,26,142.55,?,deep,Midwestern American,brown,Yes,ectomorph,No,NB,Yes,Burger,VeryHigh,7261,------->?
790,54,169.06,4,**??,Yorkshire,dyed,Yes,**??,No,NB,Yes,Burger,9205,9205,------->?
791,26,**??,4,deep,East Coast City Dialects,brown,Yes,ectomorph,No,NB,Yes,Pizza,High,great,459
792,37,168.11,------->?,mid range,Midwestern American,blond,No,mesomorph,No,F,**??,Burger,Low,Bad,------->?
**??,51,152.71,5,deep,Missing,brown,**??,ectomorph,Yes,------->?,Yes,Burger,VeryHigh,5631,763
794,56,156.89,7,deep,East Coast City Dialects,brown,**??,?,Yes,M,Yes,------->?,Low,Bad,555
795,33,141.69,7,Missing,Southern American,**??,No,mesomorph,Yes,NB,Yes,Burger,High,great,227
796,35,159.33,7,Missing,Welsh,brown,Yes,endomorph,No,NB,Yes,Hot Dogs,High,great,1245
797,22,170.53,3,high pitched,Southern American,black,No,mesomorph,Yes,?,No,Hot Dogs,9236,9236,321
------->?,21,190.9,1,deep,Midwestern American,white/gray,No,mesomorph,Yes,M,No,Apple Pie,VeryHigh,7161,**??
799,30,162.12,4,deep,Northern Irish,brown,Yes,mesomorph,No,M,Yes,Burger,Medium,Good,?
800,48,142.02,7,deep,Southern American,brown,Yes,mesomorph,No,F,Yes,Burger,9382,9382,841
801,33,141.34,7,deep,?,white/gray,Yes,mesomorph,No,**??,Yes,Burger,8833,8833,655
802,26,151.09,4,deep,Midwestern American,**??,Yes,mesomorph,No,F,Yes,Missing,VeryHigh,6328,**??
803,18,------->?,0,mid range,Midwestern American,red,------->?,?,No,NB,No,?,VeryHigh,5383,77
804,22,185.61,1,high pitched,East Coast City Dialects,**??,No,mesomorph,No,F,No,Apple Pie,High,great,------->?
805,19,**??,4,deep,Southern American,Missing,No,mesomorph,Yes,NB,No,Apple Pie,9125,9125,1189
------->?,55,Missing,4,deep,**??,blond,No,mesomorph,Yes,M,Yes,Pizza,High,great,Missing
807,35,166.68,------->?,mid range,Northern Irish,blond,Yes,mesomorph,No,NB,Yes,Pizza,VeryHigh,5239,1367
808,53,148.64,------->?,deep,Cockney,blond,Yes,mesomorph,No,M,Yes,Burger,9217,9217,1473
809,48,149.12,7,deep,Northern Irish,blond,No,ectomorph,Yes,M,Yes,Burger,VeryHigh,4389,**??
810,18,194.72,2,high pitched,Cockney,brown,Yes,?,No,NB,No,Burger,Low,Bad,289
811,47,168.26,7,deep,Boston,dyed,No,ectomorph,Yes,NB,Yes,**??,High,great,Missing
812,24,193.96,4,high pitched,Midwestern American,Missing,Yes,mesomorph,No,NB,No,Apple Pie,9309,9309,257
813,41,------->?,?,deep,Southern American,brown,No,mesomorph,No,NB,Yes,Apple Pie,9681,9681,?
814,19,178.67,4,mid range,**??,blond,Yes,endomorph,Yes,F,No,Hot Dogs,9643,9643,Missing
815,24,194.87,2,mid range,Northern Irish,blond,Yes,Missing,?,NB,No,Hot Dogs,VeryHigh,6968,245
816,34,162.07,8,high pitched,East Coast City Dialects,blond,No,ectomorph,Yas,F,Yes,Pizza,Medium,Good,Missing
817,22,192.91,0,mid range,Southern American,black,Yes,endomorph,Yes,M,No,Burger,VeryHigh,7330,993
818,29,152.23,4,deep,Boston,blond,?,Missing,No,F,Yes,Hot Dogs,High,great,------->?
819,30,148.7,6,deep,East Coast City Dialects,blond,Yes,ectomorph,No,NB,Yes,Burger,7602,7602,1163
820,23,207.47,2,high pitched,East Coast City Dialects,white/gray,Missing,ectomorph,No,NB,------->?,Burger,VeryHigh,6238,?
821,20,186.1,Missing,mid range,Midwestern American,black,Yes,ectomorph,No,M,No,Burger,9495,9495,513
822,19,181.24,0,high pitched,Midwestern American,black,No,ectomorph,Yes,**??,No,Pizza,Low,Bad,?
823,40,146.67,6,Missing,East Coast City Dialects,blond,?,ectomorph,Missing,M,Yes,Pizza,Medium,Good,**??
824,20,200.18,0,deep,East Coast City Dialects,white/gray,No,ectomorph,No,M,No,?,8047,8047,**??
825,35,167.48,5,mid range,Boston,blond,Yes,ectomorph,No,F,Yes,Burger,Medium,Good,?
826,55,166.59,4,deep,Missing,Missing,No,mesomorph,No,F,**??,Burger,High,great,**??
827,20,187.25,2,mid range,East Coast City Dialects,white/gray,Yes,mesomorph,Yes,?,No,Apple Pie,Medium,Good,91
828,51,146,4,mid range,Northern Irish,brown,Yes,Missing,Yes,NB,Yes,Burger,High,great,?
829,------->?,209.16,3,deep,Yorkshire,white/gray,No,ectomorph,------->?,M,No,Burger,High,great,Missing
830,49,140.31,4,deep,Midwestern American,brown,No,mesomorph,Missing,NB,------->?,Pizza,Medium,Good,375
Missing,24,203,4,mid range,Midwestern American,black,Yes,mesomorph,Yes,NB,No,Hot Dogs,Low,Bad,------->?
832,?,181.21,1,high pitched,Northern Irish,black,Yes,mesomorph,Yes,F,No,Burger,9101,9101,1423
833,------->?,156.91,6,deep,Southern American,blond,Yes,?,Yes,M,Yes,Burger,VeryHigh,4460,601
834,**??,161.2,7,deep,East Coast City Dialects,black,No,Missing,Yes,F,Yes,Pizza,8802,8802,1481
835,47,140.52,6,mid range,Southern American,blond,Yes,ectomorph,No,NB,Missing,Burger,7968,7968,825
836,35,?,6,deep,Southern American,blond,No,mesomorph,No,M,Yes,Apple Pie,VeryHigh,4324,707
837,20,195.38,1,mid range,Canadian,black,No,mesomorph,Yes,------->?,No,?,VeryHigh,5903,**??
838,18,207.14,3,mid range,East Coast City Dialects,black,Missing,ectomorph,Yes,M,No,------->?,VeryHigh,6324,1335
Missing,23,197.37,2,mid range,Midwestern American,brown,Yes,mesomorph,Yes,M,No,Hot Dogs,VeryHigh,6580,**??
840,**??,194.11,3,deep,Southern American,red,Missing,ectomorph,No,Missing,No,Hot Dogs,8329,8329,1467
841,53,140.65,4,deep,East Coast City Dialects,blond,Yes,ectomorph,No,NB,Yes,Burger,VeryHigh,4658,**??
842,18,208.89,2,high pitched,Northern Irish,red,Yes,mesomorph,Yes,NB,No,Apple Pie,Medium,Good,1273
843,18,173.81,2,high pitched,Southern American,white/gray,Yes,mesomorph,**??,M,No,Burger,VeryHigh,6390,861
844,21,175.98,0,mid range,french,black,No,ectomorph,No,F,No,Burger,VeryHigh,5262,1221
845,40,147.63,8,deep,------->?,blond,Yes,mesomorph,No,F,Yes,Burger,VeryHigh,6919,?
?,38,148.87,8,high pitched,Midwestern American,brown,Yes,mesomorph,No,------->?,Yes,Burger,Medium,Good,------->?
847,49,142.06,7,mid range,Canadian,blond,No,mesomorph,Yes,NB,Yes,Pizza,7924,7924,693
848,20,170.37,4,**??,East Coast City Dialects,brown,No,mesomorph,**??,NB,No,Burger,High,great,1355
849,35,144.96,5,mid range,Midwestern American,brown,Yes,mesomorph,Yes,NB,Yes,Pizza,Low,Bad,899
850,Missing,Missing,?,high pitched,Scottish,white/gray,No,ectomorph,No,NB,No,Burger,Low,Bad,1451
851,35,144.68,8,mid range,Southern American,brown,Yes,mesomorph,No,M,Yes,Burger,VeryHigh,4413,367
852,24,184.95,2,mid range,East Coast City Dialects,brown,No,endomorph,No,M,Missing,Pizza,8279,8279,921
853,39,154.68,5,mid range,East Coast City Dialects,brown,Yes,mesomorph,No,F,Yes,Burger,8761,8761,Missing
854,31,146.13,8,deep,East Coast City Dialects,black,Yes,ectomorph,**??,NB,Yes,Pizza,VeryHigh,5706,87
855,32,150.44,6,deep,Canadian,blond,Yes,ectomorph,Yes,M,Yes,Hot Dogs,High,great,Missing
856,18,185.12,2,deep,East Coast City Dialects,black,Yes,mesomorph,Yes,M,No,Hot Dogs,VeryHigh,7064,Missing
857,33,162.12,Missing,deep,Midwestern American,black,------->?,mesomorph,No,M,Yes,Pizza,7799,7799,?
858,42,152.59,8,deep,Southern American,white/gray,Yes,?,No,F,Yes,Missing,High,great,1029
Missing,27,160.65,------->?,deep,**??,brown,No,mesomorph,No,F,Yes,Pizza,Low,Bad,?
860,29,146.23,5,deep,Welsh,brown,Yes,ectomorph,No,M,Yes,Apple Pie,VeryHigh,4792,?
861,19,193.93,0,mid range,Midwestern American,black,Yes,mesomorph,Yes,F,?,Burger,VeryHigh,7350,?
862,52,158.62,7,?,Southern American,blond,Yes,ectomorph,No,F,Yes,Burger,VeryHigh,3607,637
863,40,146.59,4,Missing,Northern Irish,?,Yes,**??,Yes,M,Yes,Burger,VeryHigh,5912,1195
864,39,160.78,4,deep,Canadian,Missing,No,mesomorph,Yes,M,Yes,Apple Pie,Medium,Good,?
865,31,147.7,4,deep,Midwestern American,blond,No,Missing,No,NB,Yes,Burger,VeryHigh,3841,1253
866,22,177.63,------->?,mid range,Southern American,white/gray,Yes,endomorph,Yes,M,No,Apple Pie,VeryHigh,7111,?
Missing,------->?,150.85,8,deep,french,blond,Yes,------->?,No,M,Yes,------->?,7998,7998,**??
868,23,190.58,1,mid range,Northern Irish,red,Yes,ectomorph,Yes,M,------->?,Burger,VeryHigh,4899,139
869,56,157.43,8,deep,Yorkshire,blond,?,mesomorph,No,NB,Yes,Burger,Medium,Good,Missing
870,48,167.92,4,high pitched,Southern American,brown,?,endomorph,No,NB,Yes,Burger,High,great,1067
Missing,35,148.1,4,deep,Cockney,blond,Yes,endomorph,Yes,F,Yes,Burger,VeryHigh,4147,?
872,24,196.89,1,mid range,Northern Irish,white/gray,No,ectomorph,Yes,M,No,Hot Dogs,VeryHigh,7282,1283
873,22,192,2,mid range,Italian,dyed,Yes,ectomorph,**??,M,No,Hot Dogs,VeryHigh,6458,**??
874,23,186.41,2,high pitched,East Coast City Dialects,white/gray,No,ectomorph,Yes,F,No,Burger,VeryHigh,5010,1469
875,32,157.2,5,deep,Missing,black,Yes,mesomorph,Yes,M,Yes,Hot Dogs,VeryHigh,7202,151
876,25,154.29,7,deep,Southern American,brown,Yes,ectomorph,Yes,F,Yes,Burger,VeryHigh,3814,Missing
877,22,------->?,1,high pitched,East Coast City Dialects,?,Yes,mesomorph,Yes,F,No,Hot Dogs,8778,8778,Missing
878,52,?,5,deep,Northern Irish,black,Yes,ectomorph,No,M,Yes,Pizza,8488,8488,**??
879,53,155.09,8,**??,Northern Irish,white/gray,Yes,endomorph,Yes,M,Yes,Missing,VeryHigh,4626,1457
880,19,188.39,2,mid range,Canadian,black,No,ectomorph,Yes,M,?,Apple Pie,Medium,Good,63
881,24,183.8,2,mid range,East Coast City Dialects,white/gray,**??,mesomorph,No,M,No,Burger,Low,Bad,1145
?,47,154.36,6,Missing,Midwestern American,brown,No,mesomorph,Yes,?,Yes,Burger,High,great,1007
883,33,165.92,6,mid range,Southern American,blond,No,**??,Yes,F,Yes,Burger,Low,Bad,775
884,**??,195.28,3,mid range,------->?,?,No,endomorph,No,M,No,Burger,Medium,Good,Missing
885,47,154.15,7,------->?,Midwestern American,black,Yes,mesomorph,Yes,M,Yes,Burger,VeryHigh,4668,**??
886,**??,183.51,4,high pitched,Cockney,white/gray,No,ectomorph,Yes,M,No,?,9300,9300,333
887,24,182.63,4,mid range,Scottish,white/gray,Yes,------->?,No,NB,No,Hot Dogs,High,great,967
888,24,184.66,1,mid range,Northern Irish,black,Yes,ectomorph,No,M,No,Pizza,9656,9656,**??
889,47,161.88,7,deep,Boston,brown,?,ectomorph,Yes,F,------->?,?,VeryHigh,6331,**??
Missing,53,166.85,8,deep,Northern Irish,brown,**??,mesomorph,Yes,F,Yes,Apple Pie,8774,8774,------->?
891,38,152.02,8,deep,------->?,blond,Yes,mesomorph,Yes,Missing,Yes,Pizza,8145,8145,?
892,41,157.2,5,deep,Midwestern American,blond,Yes,mesomorph,No,F,Yes,Burger,High,great,?
893,35,164.84,6,deep,East Coast City Dialects,blond,No,mesomorph,Yes,?,Yes,Burger,High,great,1461
894,21,190.78,3,mid range,Southern American,white/gray,Yes,mesomorph,Yes,F,No,Hot Dogs,High,great,1395
895,21,201.35,0,high pitched,East Coast City Dialects,white/gray,No,mesomorph,Yes,M,No,Burger,Medium,Good,1323
896,32,149.08,5,?,Southern American,brown,Yes,mesomorph,Yes,M,Yes,Burger,9458,9458,------->?
897,21,204.07,1,mid range,Southern American,white/gray,No,endomorph,No,NB,No,Pizza,8554,8554,413
898,46,150.97,6,deep,Northern Irish,**??,Yes,**??,No,------->?,Yes,Burger,8536,8536,?
899,20,186.77,4,mid range,East Coast City Dialects,red,No,ectomorph,Yes,F,No,Hot Dogs,High,great,233
900,30,142.83,6,deep,Midwestern American,brown,No,mesomorph,No,M,Yes,Burger,Medium,Good,Missing
901,38,Missing,6,Missing,Missing,blond,?,mesomorph,No,M,Yes,Burger,VeryHigh,6481,?
902,45,156.13,5,deep,Southern American,blond,Missing,ectomorph,Yes,F,Yes,Burger,Low,Bad,?
?,55,161.81,6,mid range,Southern American,blond,Yes,mesomorph,Missing,M,Yes,Pizza,VeryHigh,5527,1177
904,42,166.71,8,------->?,Midwestern American,blond,Yes,endomorph,No,M,?,------->?,Low,Bad,Missing
905,27,145.91,**??,mid range,East Coast City Dialects,white/gray,Yes,ectomorph,Yes,M,Yes,Pizza,VeryHigh,3584,?
906,48,165.74,4,mid range,East Coast City Dialects,blond,Yes,endomorph,Yes,M,?,**??,VeryHigh,5029,Missing
907,44,158.83,6,deep,Missing,blond,Yes,endomorph,?,M,Yes,Burger,VeryHigh,7254,175
908,31,161.65,8,deep,Southern American,brown,Yes,ectomorph,No,F,Yes,Hot Dogs,8588,8588,Missing
909,23,199.15,1,high pitched,Southern American,white/gray,Yes,ectomorph,Yes,M,No,Pizza,9035,9035,?
910,19,205.96,3,high pitched,East Coast City Dialects,white/gray,No,------->?,No,M,No,Burger,VeryHigh,6868,------->?
911,------->?,168.86,5,high pitched,Midwestern American,?,Yes,mesomorph,Yes,F,Yes,Pizza,8777,8777,809
912,26,**??,7,mid range,Yorkshire,white/gray,Yes,endomorph,**??,Missing,Yes,Burger,VeryHigh,5663,1143
913,55,165.61,7,deep,Yorkshire,brown,?,ectomorph,No,F,Yes,?,High,great,**??
914,30,166.99,4,deep,Canadian,Missing,Yes,ectomorph,Yes,M,Yes,Burger,High,great,------->?
915,18,208.37,1,deep,Southern American,black,No,ectomorph,Yes,NB,No,Pizza,9345,9345,133
916,19,201.95,4,deep,Scottish,Missing,Yes,endomorph,Yes,M,No,Hot Dogs,Medium,Good,1139
917,20,195.67,0,Missing,Southern American,black,------->?,ectomorph,No,M,No,------->?,VeryHigh,7321,213
918,21,184.68,4,mid range,Yorkshire,white/gray,No,mesomorph,No,F,No,Burger,9278,9278,?
919,40,160.92,7,deep,Midwestern American,blond,No,ectomorph,No,M,Yes,**??,Low,Bad,?
920,39,148.79,5,mid range,Midwestern American,brown,No,mesomorph,Yes,M,Yes,Burger,VeryHigh,4167,275
921,19,188.66,4,mid range,**??,white/gray,Missing,ectomorph,Yes,M,No,Burger,9653,9653,?
922,38,162.61,5,mid range,Midwestern American,blond,Yes,endomorph,Yes,F,Yes,?,Low,Bad,1141
923,43,160.52,8,deep,Boston,brown,Yes,mesomorph,No,M,Yes,Burger,9331,9331,715
?,21,173.55,4,mid range,East Coast City Dialects,black,No,ectomorph,Yes,M,No,Burger,VeryHigh,5284,Missing
925,48,158.43,6,deep,Midwestern American,blond,No,mesomorph,Yes,F,Yes,Burger,High,great,1499
?,25,148.67,5,deep,Cockney,brown,No,endomorph,?,NB,Yes,Burger,9835,9835,?
927,29,152.73,4,mid range,Southern American,blond,Yes,mesomorph,------->?,M,Yes,Hot Dogs,VeryHigh,4708,83
928,26,162.82,5,------->?,Northern Irish,------->?,Yes,ectomorph,**??,NB,**??,Burger,VeryHigh,5601,709
929,42,147.48,?,mid range,Northern Irish,brown,Missing,**??,No,M,Yes,Pizza,7979,7979,625
930,22,185.56,0,high pitched,Northern Irish,black,No,ectomorph,No,M,No,Hot Dogs,High,great,Missing
931,24,180.35,0,**??,Cockney,black,No,mesomorph,No,M,No,Hot Dogs,VeryHigh,6470,Missing
932,55,143.61,7,deep,Northern Irish,brown,No,ectomorph,No,M,Yes,Pizza,High,great,969
933,23,204.88,2,mid range,Southern American,black,No,mesomorph,Yes,NB,No,Hot Dogs,9319,9319,**??
934,22,181.95,3,mid range,Northern Irish,black,No,mesomorph,No,M,No,Burger,Low,Bad,**??
935,50,158.42,8,deep,Welsh,?,**??,ectomorph,Yes,M,Yes,Burger,VeryHigh,6521,801
Missing,48,140.82,4,deep,East Coast City Dialects,**??,Yes,endomorph,Yes,Missing,**??,Hot Dogs,Low,Bad,103
937,40,164.19,8,**??,Italian,brown,No,endomorph,Yes,F,Yes,Burger,8049,8049,959
938,22,207.59,2,high pitched,Canadian,white/gray,No,ectomorph,Yes,M,Missing,Burger,VeryHigh,5265,1339
939,27,168.27,4,mid range,Welsh,------->?,**??,ectomorph,No,M,Yes,Hot Dogs,VeryHigh,5172,**??
940,46,**??,8,deep,Midwestern American,black,No,mesomorph,No,F,Yes,Burger,9507,9507,155
941,28,Missing,6,deep,East Coast City Dialects,blond,No,mesomorph,?,Missing,Yes,Hot Dogs,VeryHigh,3552,1243
942,?,158.53,8,deep,**??,blond,Yes,mesomorph,Yes,M,Yes,Apple Pie,VeryHigh,4821,1015
943,49,166.88,------->?,mid range,Scottish,brown,Yes,?,Yes,M,Yes,Burger,9173,9173,1111
944,42,151.39,5,deep,Midwestern American,brown,No,ectomorph,Yes,?,Yes,Hot Dogs,VeryHigh,4116,551
945,55,167.21,4,high pitched,Southern American,blond,Yes,endomorph,Yes,NB,Yes,Burger,VeryHigh,6011,Missing
946,24,194.73,2,deep,East Coast City Dialects,white/gray,Yes,ectomorph,No,NB,No,Apple Pie,VeryHigh,7257,**??
947,18,195.2,2,mid range,Midwestern American,black,No,ectomorph,Yes,M,No,Apple Pie,High,great,**??
948,48,142.81,6,deep,Midwestern American,blond,Yes,mesomorph,Yes,F,Yes,Hot Dogs,9750,9750,607
949,49,------->?,4,deep,**??,blond,Yes,mesomorph,Yes,M,------->?,Burger,VeryHigh,5038,1219
950,21,?,4,high pitched,Welsh,black,No,ectomorph,No,M,No,Burger,High,great,521
951,20,------->?,1,high pitched,Southern American,white/gray,No,mesomorph,No,F,No,Burger,7804,7804,**??
952,46,162.53,8,deep,Northern Irish,brown,Yes,mesomorph,Yes,M,Yes,Burger,9393,9393,1109
953,34,------->?,8,high pitched,------->?,brown,Yes,endomorph,Yes,F,?,Burger,Low,Bad,755
954,27,145.76,6,deep,Southern American,blond,Yes,endomorph,No,Missing,Yes,Burger,VeryHigh,5271,?
955,19,178.48,2,high pitched,Southern American,dyed,No,mesomorph,No,M,?,Burger,Low,Bad,433
956,37,164.82,4,deep,Cockney,blond,No,endomorph,Yes,F,Yes,Burger,VeryHigh,6241,Missing
957,56,**??,5,mid range,Northern Irish,------->?,Yes,ectomorph,Yes,M,Yes,Burger,VeryHigh,7197,Missing
958,38,148.08,5,high pitched,Midwestern American,blond,No,mesomorph,No,F,Yes,Burger,High,great,Missing
959,32,152.49,8,deep,Northern Irish,blond,Yes,mesomorph,No,NB,Yes,Hot Dogs,9143,9143,1103
960,20,------->?,2,deep,Southern American,black,No,ectomorph,Yes,M,------->?,Hot Dogs,VeryHigh,6890,?
------->?,19,188.51,3,high pitched,East Coast City Dialects,white/gray,No,ectomorph,No,M,No,Hot Dogs,8781,8781,------->?
962,45,153.57,4,mid range,Northern Irish,**??,Yes,endomorph,Yes,M,Yes,Pizza,Low,Bad,------->?
**??,21,189.97,3,high pitched,**??,black,No,mesomorph,No,NB,No,Hot Dogs,VeryHigh,6906,Missing
964,25,169.06,5,deep,East Coast City Dialects,------->?,Yes,mesomorph,Yes,F,Yes,Pizza,8829,8829,------->?
?,52,156.36,4,mid range,Southern American,black,No,Missing,Yes,F,?,Burger,VeryHigh,5990,------->?
Missing,20,207.46,4,mid range,Northern Irish,brown,No,ectomorph,No,F,No,Pizza,Low,Bad,865
967,50,166.54,**??,deep,Southern American,blond,Yes,ectomorph,No,F,Yes,Hot Dogs,Low,Bad,161
968,27,143.46,7,deep,Southern American,blond,Missing,Missing,No,M,Yes,Burger,VeryHigh,5012,------->?
?,Missing,173.31,4,high pitched,Midwestern American,?,?,ectomorph,Yes,**??,No,Pizza,9259,9259,?
970,44,141.71,8,mid range,?,brown,Yes,ectomorph,------->?,NB,Yes,Apple Pie,8319,8319,Missing
971,18,------->?,0,mid range,Welsh,white/gray,------->?,ectomorph,Yes,M,No,Burger,High,great,1079
972,39,153.43,7,deep,Welsh,blond,Yes,ectomorph,Yes,NB,Yes,Hot Dogs,High,great,1447
973,36,151.44,4,deep,Midwestern American,blond,Yes,mesomorph,Yes,M,Yes,Burger,VeryHigh,3626,Missing
974,**??,147.12,6,deep,Scottish,blond,Yes,ectomorph,No,NB,Yes,Burger,8700,8700,241
975,24,202.02,1,high pitched,Southern American,?,No,mesomorph,No,F,No,Burger,7573,7573,1333
976,20,197.79,4,high pitched,Scottish,white/gray,Missing,endomorph,No,NB,No,Pizza,Low,Bad,Missing
Missing,20,170.76,1,mid range,Southern American,black,Yes,endomorph,No,M,Missing,Hot Dogs,Low,Bad,307
978,Missing,182.82,3,high pitched,Italian,black,No,endomorph,No,M,No,Hot Dogs,Medium,Good,**??
979,54,141.09,5,deep,East Coast City Dialects,red,**??,mesomorph,No,F,Yes,Apple Pie,Medium,Good,**??
980,42,164.46,6,------->?,Northern Irish,blond,Missing,ectomorph,No,M,**??,Apple Pie,8918,8918,1017
981,31,163.04,7,deep,Cockney,brown,Yes,ectomorph,No,F,Yes,?,8162,8162,**??
982,32,140.44,5,deep,East Coast City Dialects,------->?,No,mesomorph,Yes,F,Yes,Burger,VeryHigh,4667,1033
983,27,156.75,Missing,deep,Northern Irish,blond,Yes,ectomorph,Yes,F,Yes,Pizza,VeryHigh,6746,867
984,50,165.98,6,deep,Southern American,blond,Yes,ectomorph,Yes,NB,Yes,Burger,Medium,Good,451
985,22,198.27,1,------->?,Midwestern American,white/gray,No,mesomorph,Yes,F,No,Apple Pie,VeryHigh,3767,**??
986,33,140.44,4,------->?,Midwestern American,blond,No,ectomorph,Yes,M,Yes,Missing,High,great,Missing
987,42,160.27,8,mid range,East Coast City Dialects,blond,No,endomorph,Yes,M,Yes,Burger,VeryHigh,5800,**??
988,48,163.96,8,mid range,Northern Irish,blond,Yes,ectomorph,No,F,Yes,Pizza,High,great,31
989,35,143.12,7,deep,Boston,blond,Yes,**??,No,M,Yes,Pizza,9777,9777,1021
990,23,------->?,3,high pitched,Northern Irish,blond,No,ectomorph,Yes,M,No,Hot Dogs,High,great,?
991,49,158.15,4,deep,Southern American,blond,Missing,mesomorph,No,M,Yes,Burger,Medium,Good,Missing
992,49,141.2,4,deep,Midwestern American,blond,Yes,mesomorph,Yes,M,Yes,Burger,High,great,?
993,33,156.49,6,mid range,Cockney,blond,Yes,ectomorph,No,F,Yes,Apple Pie,High,great,------->?
------->?,40,156.9,7,mid range,Southern American,black,Yes,mesomorph,No,M,Yes,Apple Pie,Medium,Good,1337
995,55,161.99,5,**??,Scottish,brown,Yes,ectomorph,No,?,Yes,Pizza,VeryHigh,6377,741
996,22,191.98,3,mid range,Northern Irish,black,Yes,ectomorph,Yes,M,No,Burger,Low,Bad,Missing
997,52,155.45,4,deep,East Coast City Dialects,brown,No,mesomorph,Yes,M,Yes,------->?,9552,9552,5
Missing,30,157.43,7,mid range,Italian,brown,Yes,endomorph,No,NB,Yes,Pizza,Low,Bad,1277
999,18,173.54,3,high pitched,Midwestern American,white/gray,No,ectomorph,Yes,M,No,Burger,VeryHigh,3752,Missing
1000,47,------->?,7,deep,East Coast City Dialects,blond,------->?,Missing,No,Missing,Yes,Apple Pie,Low,Bad,**??
1001,21,173.33,4,high pitched,Missing,brown,------->?,ectomorph,Yes,Missing,No,**??,9576,9576,------->?
1002,55,168.21,**??,high pitched,Midwestern American,brown,Yes,mesomorph,Yes,NB,Yes,Burger,VeryHigh,4570,?
1003,28,160.4,7,Missing,Midwestern American,brown,Yes,mesomorph,No,F,Yes,Burger,VeryHigh,4401,1373
1004,34,151.17,7,mid range,french,brown,Yes,ectomorph,Yes,**??,Yes,Burger,High,great,913
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
------->?,------->?,165.1,?,high pitched,**??,brown,Yes,mesomorph,Yes,M,Yes,Burger,9025,9025,Missing
1009,44,141.84,7,deep,East Coast City Dialects,**??,Yes,ectomorph,No,F,Yes,Burger,VeryHigh,6899,469
